country,year,pop,gdp
Belgium,1961,9183948,126558.4179
Belize,1961,94703,103.5659578
Benin,1961,2465867,1305.176841
Bhutan,1961,228918,
Bolivia,1961,3764813,4919.069386
Bosnia & Herzegovina,1961,3288602,
Botswana,1961,537249,218.0149126
Brazil,1961,74351763,272724.0872
Brunei,1961,85596,
Bulgaria,1961,7943118,
Burkina Faso,1961,4894580,1166.136608
Burundi,1961,2839666,514.5976774
Cambodia,1961,5873015,
Cameroon,1961,5285231,4716.786155
Canada,1961,18271000,326355.4254
Cape Verde,1961,205956,
Central African Republic,1961,1529227,949.7142536
Chad,1961,3060355,2119.151955
Chile,1961,7890156,30916.52718
China,1961,660330000,93049.40893
Colombia,1961,16982315,38395.2925
Comoros,1961,194139,
Congo,1961,1064111,1607.082068
"Congo, Dem. Republic",1961,15637733,13443.82577
Cook Islands,1961,,
Costa Rica,1961,1381917,3771.469349
Cote d'Ivoire,1961,3694205,4715.565889
Croatia,1961,4171672,
Cuba,1961,7289826,
Cyprus,1961,576395,
Czech Republic,1961,9586651,
Denmark,1961,4611687,102674.5926
Djibouti,1961,88498,
Dominica,1961,61032,
Dominican Republic,1961,3406299,4107.269019
Ecuador,1961,4676859,10359.67188
Egypt,1961,27744712,17788.02837
El Salvador,1961,2843240,
Equatorial Guinea,1961,258947,
Eritrea,1961,1432640,
Estonia,1961,1225077,
Ethiopia,1961,22671190,
European Union (28),1961,408835334,3058482.716
Fiji,1961,407156,722.4985812
Finland,1961,4461005,58128.94669
France,1961,47444751,641664.129
Gabon,1961,504167,2507.788728
Gambia,1961,376737,
Georgia,1961,3703600,
Germany,1961,73377632,
Ghana,1961,6866539,7246.940591
Greece,1961,8398050,62786.31986
Grenada,1961,91260,
Guatemala,1961,4336143,6419.694571
Guinea,1961,3633652,
Guinea-Bissau,1961,623415,
Guyana,1961,589274,999.2845905
Haiti,1961,3943364,
Honduras,1961,2096407,2275.788082
Hungary,1961,10029321,
Iceland,1961,179029,2052.573568
India,1961,458494963,141837.05
Indonesia,1961,90138235,64058.31479
Iran,1961,22480418,60724.057
Iraq,1961,7475352,
Ireland,1961,2824400,
Israel,1961,2185000,18339.68489
Italy,1961,50536350,590330.5319
Jamaica,1961,1650806,
Japan,1961,94943000,892105.4308
Jordan,1961,973083,
Kazakhstan,1961,10129861,
Kenya,1961,8361441,4025.007635
Kiribati,1961,42257,
Korea (North),1961,11665595,
Korea (South),1961,25765673,25244.55024
Kuwait,1961,301336,
Kyrgyzstan,1961,2255900,
Laos,1961,2170343,
Latvia,1961,2152681,
Lebanon,1961,1864605,
Lesotho,1961,866462,223.1390667
Liberia,1961,1144986,1461.512079
Libya,1961,1498071,
Liechtenstein,1961,16894,
Lithuania,1961,2823550,
Luxembourg,1961,316845,8829.767195
"Macedonia, FYR",1961,1507654,
Madagascar,1961,5223568,3726.375269
Malawi,1961,3700023,939.4297156
Malaysia,1961,8418460,12363.52023
Maldives,1961,92350,
Mali,1961,5322266,
Malta,1961,325250,
Marshall Islands,1961,15051,
Mauritania,1961,883221,784.314258
Mauritius,1961,680757,
Mexico,1961,39394126,147761.0989
Micronesia,1961,45955,
Moldova,1961,2605000,
Mongolia,1961,982178,
Montenegro,1961,491140,
Morocco,1961,12710547,
Mozambique,1961,7541325,
Myanmar,1961,21438025,3348.946382
Namibia,1961,617277,
Nauru,1961,4675,
Nepal,1961,10221759,2738.850526
Netherlands,1961,11638712,188413.7763
New Zealand,1961,2419700,
Nicaragua,1961,1830400,2911.787023
Niger,1961,3486295,2169.116385
Nigeria,1961,46062905,58789.40437
Niue,1961,,
Norway,1961,3609800,88209.23074
Oman,1961,564890,
Pakistan,1961,45984892,14503.34755
Palau,1961,9900,
Panama,1961,1167035,2663.450484
Papua New Guinea,1961,2051947,1649.974612
Paraguay,1961,1953328,2086.084133
Peru,1961,10350242,28991.78508
Philippines,1961,27164617,29395.13029
Poland,1961,29964000,
Portugal,1961,8929316,42122.479
Qatar,1961,51421,
Romania,1961,18555250,
Russian Federation,1961,121236000,
Rwanda,1961,2996096,931.0463684
Saint Kitts & Nevis,1961,51193,
Saint Lucia,1961,90914,
Saint Vincent & Grenadines,1961,82142,148.2831781
Samoa,1961,112119,
Sao Tome & Principe,1961,64551,
Saudi Arabia,1961,4218879,
Senegal,1961,3295293,3564.830625
Serbia,1961,,
Seychelles,1961,42889,112.2351239
Sierra Leone,1961,2329204,879.9717768
Singapore,1961,1702400,6034.690136
Slovakia,1961,4191667,
Slovenia,1961,1594131,
Solomon Islands,1961,121396,
Somalia,1961,2814096,
South Africa,1961,17850045,82081.35278
Spain,1961,30739250,250683.5963
Sri Lanka,1961,10168000,5924.493034
Sudan,1961,7769482,9323.608409
Suriname,1961,298188,
Swaziland,1961,357453,
Sweden,1961,7519998,143508.3253
Switzerland,1961,5434294,
Syria,1961,4721896,
Tajikistan,1961,2159123,
Tanzania,1961,10373398,
Thailand,1961,28224204,16478.50295
Togo,1961,1597526,618.8127272
Tonga,1961,63745,
Trinidad & Tobago,1961,865360,4875.72337
Tunisia,1961,4235937,
Turkey,1961,28146893,88231.44786
Turkmenistan,1961,1658362,
Tuvalu,1961,6246,
Uganda,1961,7006633,
Ukraine,1961,43203635,
United Arab Emirates,1961,101078,
United Kingdom,1961,52800000,745441.7285
United States of America,1961,183691000,3148866.715
Uruguay,1961,2571690,14244.63965
Uzbekistan,1961,8837349,
Vanuatu,1961,65713,
Venezuela,1961,8461685,104662.1532
Vietnam,1961,35428000,
World,1961,3075115342,11677593.46
Yemen,1961,5260501,
Zambia,1961,3140264,4655.503638
Zimbabwe,1961,3870756,3561.384804
Afghanistan,1962,9345868,
Albania,1962,1711319,
Algeria,1962,11690153,19036.11334
Andorra,1962,15370,
Angola,1962,5866061,
Antigua & Barbuda,1962,57144,
Argentina,1962,21287682,120808.8735
Armenia,1962,2009526,
Australia,1962,10742000,206011.0536
Austria,1962,7129864,99918.32884
Azerbaijan,1962,4171425,
Bahamas,1962,121083,1860.332198
Bahrain,1962,173144,
Bangladesh,1962,51030137,19977.74668
Barbados,1962,232586,
Belarus,1962,8351928,
Belgium,1962,9220578,133154.6471
Belize,1962,97384,108.6330799
Benin,1962,2502896,1260.456133
Bhutan,1962,234706,
Bolivia,1962,3838097,5193.072636
Bosnia & Herzegovina,1962,3353226,
Botswana,1962,550840,232.5492426
Brazil,1962,76573248,286949.5376
Brunei,1962,89516,
Bulgaria,1962,8012946,
Burkina Faso,1962,4960326,1237.606774
Burundi,1962,2893669,561.2364776
Cambodia,1962,6028551,
Cameroon,1962,5399922,4860.249991
Canada,1962,18614000,349581.4207
Cape Verde,1962,210867,
Central African Republic,1962,1556661,914.4437639
Chad,1962,3121216,2232.74096
Chile,1962,8067136,32161.43854
China,1962,665770000,87857.25192
Colombia,1962,17500171,40494.17127
Comoros,1962,197198,
Congo,1962,1092292,1690.68744
"Congo, Dem. Republic",1962,16041263,16294.0106
Cook Islands,1962,,
Costa Rica,1962,1432585,4078.78074
Cote d'Ivoire,1962,3841071,4773.425623
Croatia,1962,4202104,
Cuba,1962,7450402,
Cyprus,1962,577691,
Czech Republic,1962,9624660,
Denmark,1962,4647727,108492.9791
Djibouti,1962,94204,
Dominica,1962,61982,
Dominican Republic,1962,3521278,4807.445064
Ecuador,1962,4812890,10831.95731
Egypt,1962,28506176,19007.68651
El Salvador,1962,2927857,
Equatorial Guinea,1962,262590,
Eritrea,1962,1469645,
Estonia,1962,1241623,
Ethiopia,1962,23221389,
European Union (28),1962,412468533,3212369.756
Fiji,1962,421577,748.552618
Finland,1962,4491443,59862.32023
France,1962,48119649,684477.0802
Gabon,1962,509806,2694.599217
Gambia,1962,383523,
Georgia,1962,3760300,
Germany,1962,74025784,
Ghana,1962,7085464,7544.728874
Greece,1962,8448233,63749.15995
Grenada,1962,92425,
Guatemala,1962,4464249,6646.727151
Guinea,1962,3690664,
Guinea-Bissau,1962,629969,
Guyana,1962,606285,1010.325944
Haiti,1962,4022593,
Honduras,1962,2155652,2406.983761
Hungary,1962,10061734,
Iceland,1962,182378,2223.218639
India,1962,467852537,145994.4751
Indonesia,1962,92558005,65238.25467
Iran,1962,23071429,65526.88536
Iraq,1962,7674223,
Ireland,1962,2836050,
Israel,1962,2293000,20202.28477
Italy,1962,50879450,626952.5747
Jamaica,1962,1676250,
Japan,1962,95832000,971582.8627
Jordan,1962,1009733,
Kazakhstan,1962,10532062,
Kenya,1962,8628972,4405.667047
Kiribati,1962,43302,
Korea (North),1962,11871712,
Korea (South),1962,26513030,26213.66866
Kuwait,1962,338296,
Kyrgyzstan,1962,2333400,
Laos,1962,2221122,
Latvia,1962,2181586,
Lebanon,1962,1925276,
Lesotho,1962,882170,257.3503341
Liberia,1962,1170480,1481.163659
Libya,1962,1550813,
Liechtenstein,1962,17290,
Lithuania,1962,2863350,
Luxembourg,1962,320750,8949.735271
"Macedonia, FYR",1962,1527111,
Madagascar,1962,5352503,3811.003848
Malawi,1962,3784439,945.7085326
Malaysia,1962,8692815,13157.38552
Maldives,1962,94938,
Mali,1962,5381368,
Malta,1962,323900,
Marshall Islands,1962,15547,
Mauritania,1962,909174,790.0131511
Mauritius,1962,700349,
Mexico,1962,40649588,154653.2893
Micronesia,1962,47388,
Moldova,1962,2664000,
Mongolia,1962,1011324,
Montenegro,1962,502558,
Morocco,1962,13094818,
Mozambique,1962,7699139,
Myanmar,1962,21898020,3485.813552
Namibia,1962,632654,
Nauru,1962,4947,
Nepal,1962,10384204,2791.171336
Netherlands,1962,11805689,201307.8868
New Zealand,1962,2482000,
Nicaragua,1962,1886562,3252.330677
Niger,1962,3588156,2392.073644
Nigeria,1962,47029140,61201.52928
Niue,1962,,
Norway,1962,3638918,90691.39011
Oman,1962,578824,
Pakistan,1962,47119361,15153.51211
Palau,1962,10151,
Panama,1962,1202373,2883.044967
Papua New Guinea,1962,2094687,1755.145632
Paraguay,1962,2005337,2154.930302
Peru,1962,10650667,31901.19576
Philippines,1962,28081231,30798.19568
Poland,1962,30308500,
Portugal,1962,8993985,44908.64837
Qatar,1962,56263,
Romania,1962,18676550,
Russian Federation,1962,122591000,
Rwanda,1962,3050604,1036.569286
Saint Kitts & Nevis,1962,50966,
Saint Lucia,1962,92084,
Saint Vincent & Grenadines,1962,83206,153.7611469
Samoa,1962,115788,
Sao Tome & Principe,1962,64432,
Saudi Arabia,1962,4362864,
Senegal,1962,3386863,3559.974065
Serbia,1962,,
Seychelles,1962,44042,121.6725055
Sierra Leone,1962,2363013,919.9310054
Singapore,1962,1750200,6464.466447
Slovakia,1962,4238188,
Slovenia,1962,1603649,
Solomon Islands,1962,125064,
Somalia,1962,2874190,
South Africa,1962,18322335,87152.2428
Spain,1962,31023366,275635.2328
Sri Lanka,1962,10443000,6150.691336
Sudan,1962,8004121,9968.41445
Suriname,1962,306328,
Swaziland,1962,365636,
Sweden,1962,7561588,149620.0191
Switzerland,1962,5573815,
Syria,1962,4875422,
Tajikistan,1962,2236559,
Tanzania,1962,10683906,
Thailand,1962,29081034,17723.33099
Togo,1962,1612755,642.1645712
Tonga,1962,66259,
Trinidad & Tobago,1962,880023,5009.438286
Tunisia,1962,4303131,
Turkey,1962,28832805,93147.19996
Turkmenistan,1962,1715408,
Tuvalu,1962,6389,
Uganda,1962,7240174,
Ukraine,1962,43749470,
United Arab Emirates,1962,112472,
United Kingdom,1962,53250000,755341.1438
United States of America,1962,186538000,3340947.585
Uruguay,1962,2603887,14020.35084
Uzbekistan,1962,9138097,
Vanuatu,1962,67808,
Venezuela,1962,8790589,113592.9054
Vietnam,1962,36123000,
World,1962,3127961482,12326743.55
Yemen,1962,5351799,
Zambia,1962,3240587,4539.542515
Zimbabwe,1962,3999419,3612.471832
Afghanistan,1963,9533954,
Albania,1963,1762621,
Algeria,1963,11985136,25568.11364
Andorra,1963,16412,
Angola,1963,5980417,
Antigua & Barbuda,1963,58294,
Argentina,1963,21621840,114396.1007
Armenia,1963,2077575,
Australia,1963,10950000,218810.4613
Austria,1963,7175811,104053.2167
Azerbaijan,1963,4315128,
Bahamas,1963,127333,2056.114586
Bahrain,1963,178140,
Bangladesh,1963,52532417,19886.66928
Barbados,1963,233587,
Belarus,1963,8437232,
Belgium,1963,9289770,138948.9838
Belize,1963,100164,114.017407
Benin,1963,2542859,1320.076061
Bhutan,1963,240778,
Bolivia,1963,3913395,5526.504333
Bosnia & Herzegovina,1963,3417574,
Botswana,1963,565353,246.3185881
Brazil,1963,78854019,289459.4066
Brunei,1963,93576,
Bulgaria,1963,8078145,
Burkina Faso,1963,5027821,1221.913718
Burundi,1963,2949926,584.4458925
Cambodia,1963,6183747,
Cameroon,1963,5520332,5042.147292
Canada,1963,18964000,367695.9471
Cape Verde,1963,216908,
Central African Republic,1963,1585763,907.9785482
Chad,1963,3183551,2197.029295
Chile,1963,8247415,34039.71162
China,1963,682335000,96906.54887
Colombia,1963,18033550,41670.16844
Comoros,1963,200372,
Congo,1963,1121735,1622.564564
"Congo, Dem. Republic",1963,16461930,17143.57871
Cook Islands,1963,,
Costa Rica,1963,1484510,4273.938635
Cote d'Ivoire,1963,3996941,5465.111983
Croatia,1963,4231408,
Cuba,1963,7618354,
Cyprus,1963,577913,
Czech Republic,1963,9670685,
Denmark,1963,4684483,109184.1025
Djibouti,1963,100628,
Dominica,1963,62918,
Dominican Republic,1963,3638628,5120.068535
Ecuador,1963,4953733,11251.76696
Egypt,1963,29281250,20728.93746
El Salvador,1963,3015887,
Equatorial Guinea,1963,266598,
Eritrea,1963,1508273,
Estonia,1963,1258857,
Ethiopia,1963,23798429,
European Union (28),1963,416161885,3377737.095
Fiji,1963,436208,796.151372
Finland,1963,4523309,61828.85709
France,1963,48803680,721077.259
Gabon,1963,516265,2858.765931
Gambia,1963,389072,
Georgia,1963,3816100,
Germany,1963,74714353,
Ghana,1963,7303432,7877.147681
Greece,1963,8479625,70210.81003
Grenada,1963,93350,
Guatemala,1963,4595510,7280.894308
Guinea,1963,3749505,
Guinea-Bissau,1963,636586,
Guyana,1963,622575,886.271484
Haiti,1963,4103730,
Honduras,1963,2216707,2493.164291
Hungary,1963,10087947,
Iceland,1963,185653,2451.840723
India,1963,477527970,154745.8997
Indonesia,1963,95055665,63778.85535
Iran,1963,23680432,70141.33793
Iraq,1963,7888914,
Ireland,1963,2852650,
Israel,1963,2379000,22363.06316
Italy,1963,51252000,662122.9086
Jamaica,1963,1703395,
Japan,1963,96812000,1053911.32
Jordan,1963,1049302,
Kazakhstan,1963,10913552,
Kenya,1963,8908422,4792.411489
Kiribati,1963,44363,
Korea (North),1963,12065468,
Korea (South),1963,27261747,28622.80624
Kuwait,1963,379891,
Kyrgyzstan,1963,2413700,
Laos,1963,2273349,
Latvia,1963,2210919,
Lebanon,1963,1984980,
Lesotho,1963,898647,284.6682521
Liberia,1963,1196890,1514.852144
Libya,1963,1607171,
Liechtenstein,1963,17718,
Lithuania,1963,2898950,
Luxembourg,1963,324100,9257.526381
"Macedonia, FYR",1963,1547450,
Madagascar,1963,5486319,3775.584317
Malawi,1963,3872118,932.5529844
Malaysia,1963,8974084,14122.98019
Maldives,1963,97584,
Mali,1963,5441613,
Malta,1963,322550,
Marshall Islands,1963,16114,
Mauritania,1963,936016,774.3411263
Mauritius,1963,718861,
Mexico,1963,41939880,167190.8566
Micronesia,1963,48876,
Moldova,1963,2721000,
Mongolia,1963,1042383,
Montenegro,1963,513409,
Morocco,1963,13478232,
Mozambique,1963,7862072,
Myanmar,1963,22371902,3951.145084
Namibia,1963,648661,
Nauru,1963,5231,
Nepal,1963,10552267,2844.067149
Netherlands,1963,11965966,208604.5358
New Zealand,1963,2531800,
Nicaragua,1963,1943590,3575.715711
Niger,1963,3693866,2617.603833
Nigeria,1963,48032246,66451.77525
Niue,1963,,
Norway,1963,3666537,94124.09829
Oman,1963,593501,
Pakistan,1963,48309315,16470.17525
Palau,1963,10378,
Panama,1963,1238823,3129.222087
Papua New Guinea,1963,2139303,1826.62432
Paraguay,1963,2058915,2256.433797
Peru,1963,10961540,33281.95921
Philippines,1963,29016771,32972.69841
Poland,1963,30712000,
Portugal,1963,9030355,47546.4486
Qatar,1963,61717,
Romania,1963,18797850,
Russian Federation,1963,123960000,
Rwanda,1963,3102972,934.7735759
Saint Kitts & Nevis,1963,50525,
Saint Lucia,1963,93399,
Saint Vincent & Grenadines,1963,84167,144.1274905
Samoa,1963,119561,
Sao Tome & Principe,1963,64177,
Saudi Arabia,1963,4516659,
Senegal,1963,3481745,3626.349018
Serbia,1963,,
Seychelles,1963,45176,134.0047476
Sierra Leone,1963,2398414,935.5672123
Singapore,1963,1795000,7109.93766
Slovakia,1963,4282017,
Slovenia,1963,1616971,
Solomon Islands,1963,128866,
Somalia,1963,2936443,
South Africa,1963,18809939,93578.51172
Spain,1963,31296651,302086.5649
Sri Lanka,1963,10582000,6305.488774
Sudan,1963,8248812,9684.616514
Suriname,1963,314528,
Swaziland,1963,373897,
Sweden,1963,7604328,157591.6208
Switzerland,1963,5694247,
Syria,1963,5034646,
Tajikistan,1963,2318234,
Tanzania,1963,11005905,
Thailand,1963,29967041,19141.16748
Togo,1963,1631764,674.2708365
Tonga,1963,69005,
Trinidad & Tobago,1963,892569,5290.197127
Tunisia,1963,4377637,
Turkey,1963,29531342,101592.2097
Turkmenistan,1963,1773853,
Tuvalu,1963,6538,
Uganda,1963,7487429,
Ukraine,1963,44285899,
United Arab Emirates,1963,125566,
United Kingdom,1963,53650000,785224.2611
United States of America,1963,189242000,3487949.279
Uruguay,1963,2635129,14044.24977
Uzbekistan,1963,9454250,
Vanuatu,1963,69964,
Venezuela,1963,9130349,118024.1092
Vietnam,1963,36836000,
World,1963,3192794384,12968937.87
Yemen,1963,5446063,
Zambia,1963,3345145,4688.094182
Zimbabwe,1963,4132756,3838.047018
Afghanistan,1964,9731361,
Albania,1964,1814135,
Algeria,1964,12295970,27061.14139
Andorra,1964,17469,
Angola,1964,6093321,
Antigua & Barbuda,1964,59524,
Argentina,1964,21953929,125984.7663
Armenia,1964,2144998,
Australia,1964,11167000,234073.563
Austria,1964,7223801,110425.8037
Azerbaijan,1964,4456689,
Bahamas,1964,133698,2272.03884
Bahrain,1964,182887,
Bangladesh,1964,54129100,22064.81411
Barbados,1964,234547,
Belarus,1964,8524224,
Belgium,1964,9378113,148615.2266
Belize,1964,103069,119.7181404
Benin,1964,2585965,1407.87114
Bhutan,1964,247325,
Bolivia,1964,3990857,5791.475876
Bosnia & Herzegovina,1964,3478995,
Botswana,1964,580799,263.1478153
Brazil,1964,81168654,299548.7525
Brunei,1964,97848,
Bulgaria,1964,8144340,
Burkina Faso,1964,5098890,1249.807799
Burundi,1964,3010859,621.1084049
Cambodia,1964,6331583,
Cameroon,1964,5646316,5221.000309
Canada,1964,19325000,392329.5778
Cape Verde,1964,223846,
Central African Republic,1964,1616516,926.8674493
Chad,1964,3246505,2141.863217
Chile,1964,8430838,34910.18212
China,1964,698355000,114524.1594
Colombia,1964,18581974,44421.37531
Comoros,1964,203753,
Congo,1964,1152412,1684.494548
"Congo, Dem. Republic",1964,16903923,16725.23706
Cook Islands,1964,,
Costa Rica,1964,1537041,4451.266576
Cote d'Ivoire,1964,4157965,6427.686956
Croatia,1964,4259680,
Cuba,1964,7787146,
Cyprus,1964,578627,
Czech Republic,1964,9727804,
Denmark,1964,4722072,119305.4013
Djibouti,1964,107583,
Dominica,1964,63926,
Dominican Republic,1964,3757956,5466.434266
Ecuador,1964,5099468,12130.74258
Egypt,1964,30071102,22416.74429
El Salvador,1964,3106186,
Equatorial Guinea,1964,271457,
Eritrea,1964,1548187,
Estonia,1964,1277086,
Ethiopia,1964,24397024,
European Union (28),1964,419816178,3565799.673
Fiji,1964,450450,834.9819095
Finland,1964,4548543,65067.87714
France,1964,49449403,768079.5142
Gabon,1964,523789,2988.9671
Gambia,1964,394553,
Georgia,1964,3870300,
Germany,1964,75318337,
Ghana,1964,7513289,8051.179672
Greece,1964,8510429,76009.05761
Grenada,1964,94066,
Guatemala,1964,4730540,7618.217591
Guinea,1964,3811659,
Guinea-Bissau,1964,643961,
Guyana,1964,637845,986.9544273
Haiti,1964,4186640,
Honduras,1964,2280045,2628.210164
Hungary,1964,10119835,
Iceland,1964,188983,2694.978588
India,1964,487484535,166279.0345
Indonesia,1964,97638029,66030.05643
Iran,1964,24308085,76085.97641
Iraq,1964,8122199,
Ireland,1964,2866550,
Israel,1964,2475000,24138.06242
Italy,1964,51675350,680647.1364
Jamaica,1964,1730486,
Japan,1964,97826000,1176973.469
Jordan,1964,1101459,
Kazakhstan,1964,11267329,
Kenya,1964,9200157,5030.32919
Kiribati,1964,45425,
Korea (North),1964,12282419,
Korea (South),1964,27984155,31330.33637
Kuwait,1964,425235,
Kyrgyzstan,1964,2495300,
Laos,1964,2327137,
Latvia,1964,2240623,
Lebanon,1964,2041207,
Lesotho,1964,915822,308.1565659
Liberia,1964,1224344,1592.89674
Libya,1964,1667825,
Liechtenstein,1964,18170,
Lithuania,1964,2935200,
Luxembourg,1964,327750,9985.707559
"Macedonia, FYR",1964,1569141,
Madagascar,1964,5625164,3925.192557
Malawi,1964,3963417,957.3691823
Malaysia,1964,9253963,14879.82546
